–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,63/13   15,146   71,716   71,716   46,486   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   238,983      
0,63/14   16,312   77,233   77,233   43,166   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   245,441      
0,63/15   17,477   82,749   82,749   40,288   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   252,66      
0,63/16   18,642   88,266   88,266   37,770   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   260,503      
0,63/17   19,807   93,783   93,783   35,548   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   268,859      
0,63/18   20,972   99,299   99,299   33,573   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   277,64      
0,63/19   22,137   104,816   104,816   31,806   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   286,783      
0,75/ 1   1,165   6,620   6,620   725,181   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   1180,544      
0,75/ 2   2,330   13,240   13,240   362,591   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   611,88      
0,75/ 3   3,495   19,860   19,860   241,727   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   431,927      
0,75/ 4   4,660   26,480   26,480   181,295   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   349,154      
0,75/ 5   5,826   33,100   33,100   145,036   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   305,253      
0,75/ 6   6,991   39,720   39,720   120,864   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   280,788      
0,75/ 7   8,156   46,340   46,340   103,597   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   267,427      
0,75/ 8   9,321   52,960   52,960   90,648   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   261,009      
0,75/ 9   10,486   59,580   59,580   80,576   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   259,218      
0,75/10   11,651   66,200   66,200   72,518   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   260,665      
0,75/11   12,816   72,819   72,819   65,926   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   264,467      
0,75/12   13,981   79,439   79,439   60,432   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   270,038      
0,75/13   15,146   86,059   86,059   55,783   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   276,966      
0,75/14   16,312   92,679   92,679   51,799   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   284,966      
0,75/15   17,477   99,299   99,299   48,345   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   293,817      
0,75/16   18,642   105,919   105,919   45,324   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   303,363      
0,75/17   19,807   112,539   112,539   42,658   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   313,481      
0,75/18   20,972   119,159   119,159   40,288   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   324,075      
0,75/19   22,137   125,779   125,779   38,167   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   335,07      
0,80/ 1   1,165   7,061   7,061   773,527   4,372   30,670   231,559   174,357   21,085   51,215   0,000   0,000   0,000   1229,772      
0,80/ 2   2,330   14,123   14,123   386,763   2,186   15,335   115,780   87,178   10,542   25,608   0,000   0,000   0,000   637,818      
0,80/ 3   3,495   21,184   21,184   257,842   1,457   10,223   77,186   58,119   7,028   17,072   0,000   0,000   0,000   450,69      
0,80/ 4   4,660   28,245   28,245   193,382   1,093   7,667   57,890   43,589   5,271   12,804   0,000   0,000   0,000   364,771      
0,80/ 5   5,826   35,306   35,306   154,705   0,874   6,134   46,312   34,871   4,217   10,243   0,000   0,000   0,000   319,334      
0,80/ 6   6,991   42,368   42,368   128,921   0,729   5,112   38,593   29,059   3,514   8,536   0,000   0,000   0,000   294,141      
0,80/ 7   8,156   49,429   49,429   110,504   0,625   4,381   33,080   24,908   3,012   7,316   0,000   0,000   0,000   280,512      
0,80/ 8   9,321   56,490   56,490   96,691   0,546   3,834   28,945   21,795   2,636   6,402   0,000   0,000   0,000   274,112      
0,80/ 9   10,486   63,552   63,552   85,947   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   272,533      
0,80/10   11,651   70,613   70,613   77,353   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   274,326      
0,80/11   12,816   77,674   77,674   70,321   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   278,572      
0,80/12   13,981   84,735   84,735   64,461   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   284,659      
0,80/13   15,146   91,797   91,797   59,502   0,336   2,359   17,812   13,412   1,622   3,940   0,000   0,000   0,000   292,161      
0,80/14   16,312   98,858   98,858   55,252   0,312   2,191   16,540   12,454   1,506   3,658   0,000   0,000   0,000   300,777      
0,80/15   17,477   105,919   105,919   51,568   0,291   2,045   15,437   11,624   1,406   3,414   0,000   0,000   0,000   310,28      
0,80/16   18,642   112,980   112,980   48,345   0,273   1,917   14,472   10,897   1,318   3,201   0,000   0,000   0,000   320,506      
0,80/17   19,807   120,042   120,042   45,502   0,257   1,804   13,621   10,256   1,240   3,013   0,000   0,000   0,000   331,331      
0,80/18   20,972   127,103   127,103   42,974   0,243   1,704   12,864   9,686   1,171   2,845   0,000   0,000   0,000   342,649      
0,80/19   22,137   134,164   134,164   40,712   0,230   1,614   12,187   9,177   1,110   2,696   0,000   0,000   0,000   354,385      
                                                
ќптимизационные значени€
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,50/10   11,651   44,133   44,133   48,345   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   192,358      
0,33/10   11,651   29,393   29,393   32,198   0,437   3,067   23,156   17,436   2,108   5,122   0,000   0,000   0,000   146,731      
0,25/11   12,816   24,273   24,273   21,975   0,397   2,788   21,051   15,851   1,917   4,656   0,000   0,000   0,000   123,424      
0,20/12   13,981   21,184   21,184   16,115   0,364   2,556   19,297   14,530   1,757   4,268   0,000   0,000   0,000   109,211      
0,67/ 9   10,486   52,986   52,986   71,659   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   237,113      
0,63/ 9   10,486   49,650   49,650   67,146   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   225,928      
0,75/ 9   10,486   59,580   59,580   80,576   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   259,218      
0,80/ 9   10,486   63,552   63,552   85,947   0,486   3,408   25,729   19,373   2,343   5,691   0,000   0,000   0,000   272,533      
–ассчет эффективности
ar/ћес€ц   —уп   Ён   Ёос   Ёоб   Ёс   Ёз   Ёq   Ёобщ      
0,50/10   28,93   12,18   0,21   0,11   0,03   0,01   7,59   131,37      
0,33/12   20,11   7,41   0,12   0,06   0,02   0,00   7,59   132,39      
ƒельта и т.д.
ar/ћес€ц   Smax   —умма   ƒельта Smax-—умма      
               
